underlying,spot,atm_strike,expiry,ce_ltp,pe_ltp,ce_iv_pct,pe_iv_pct,straddle_iv,trend,timestamp
LAURUSLABS,821.85,820.0,2025-08-28,23.9,21.6,28.56,31.72,30.14,0,2025-08-08T15:57:58.586555
LICHSGFIN,570.6,570.0,2025-08-28,9.3,17.05,15.22,35.02,25.12,0,2025-08-08T15:57:58.588317
LICI,912.95,910.0,2025-08-28,22.7,16.3,23.36,22.97,23.16,0,2025-08-08T15:57:58.589979
LODHA,1202.6,1200.0,2025-08-28,34.15,35.3,27.86,35.04,31.45,0,2025-08-08T15:57:58.592435
LT,3607.6,3600.0,2025-08-28,65.0,37.8,16.48,14.26,15.37,0,2025-08-08T15:57:58.595128
LTF,195.75,195.0,2025-08-28,5.9,4.8,28.81,30.61,29.71,0,2025-08-08T15:57:58.596881
LTIM,5012.0,5000.0,2025-08-28,131.65,121.7,25.39,29.6,27.5,0,2025-08-08T15:57:58.598457
LUPIN,1918.0,1920.0,2025-08-28,50.9,44.55,27.61,26.62,27.12,0,2025-08-08T15:57:58.600091
M&M,3144.2,3150.0,2025-08-28,80.0,78.9,26.86,28.22,27.54,0,2025-08-08T15:57:58.601576
MANAPPURAM,258.5,260.0,2025-08-28,7.25,8.6,31.78,34.91,33.34,0,2025-08-08T15:57:58.603464
MANKIND,2467.1,2450.0,2025-08-28,82.0,54.95,30.4,29.71,30.06,0,2025-08-08T15:57:58.605058
MARICO,703.95,700.0,2025-08-28,18.65,11.1,23.72,21.84,22.78,0,2025-08-08T15:57:58.606565
MARUTI,12590.0,12600.0,2025-08-28,200.5,166.0,15.88,15.78,15.83,0,2025-08-08T15:57:58.608784
MAXHEALTH,1245.3,1240.0,2025-08-28,39.0,29.95,29.86,30.31,30.08,0,2025-08-08T15:57:58.610667
MAZDOCK,2636.7,2600.0,2025-08-28,119.15,78.0,39.42,41.33,40.38,0,2025-08-08T15:57:58.612739
MCX,7712.5,7700.0,2025-08-28,248.0,240.0,32.28,36.68,34.48,0,2025-08-08T15:57:58.614499
MFSL,1551.5,1560.0,2025-08-28,30.0,38.9,22.12,26.17,24.15,0,2025-08-08T15:57:58.616085
MUTHOOTFIN,2617.8,2600.0,2025-08-28,97.4,78.0,34.86,37.96,36.41,0,2025-08-08T15:57:58.617724
NATIONALUM,187.41,185.0,2025-08-28,6.65,3.95,29.18,31.27,30.22,0,2025-08-08T15:57:58.619238
NAUKRI,1332.0,1340.0,2025-08-28,39.95,42.6,34.0,33.39,33.7,0,2025-08-08T15:57:58.620643
NBCC,105.81,105.0,2025-08-28,4.15,3.5,36.59,42.02,39.31,0,2025-08-08T15:57:58.622052
NCC,222.17,220.0,2025-08-28,6.5,6.1,24.18,36.88,30.53,0,2025-08-08T15:57:58.623461
NESTLEIND,1096.5,1100.0,2025-08-28,18.35,18.15,18.09,18.17,18.13,0,2025-08-08T15:57:58.626029
NHPC,81.78,82.0,2025-08-28,2.25,2.9,29.57,39.06,34.32,0,2025-08-08T15:57:58.628074
NMDC,71.07,71.0,2025-08-28,1.5,2.4,20.54,39.24,29.89,0,2025-08-08T15:57:58.629687
NTPC,334.75,335.0,2025-08-28,4.8,4.2,14.12,15.11,14.61,0,2025-08-08T15:57:58.631269
NUVAMA,6770.0,6800.0,2025-08-28,220.0,223.25,35.91,35.37,35.64,0,2025-08-08T15:57:58.633064
NYKAA,202.13,202.5,2025-08-28,6.95,6.7,36.6,37.01,36.8,0,2025-08-08T15:57:58.634909
OBEROIRLTY,1571.3,1580.0,2025-08-28,41.0,44.95,29.51,29.98,29.74,0,2025-08-08T15:57:58.636525
OFSS,8424.0,8400.0,2025-08-28,243.0,223.0,27.96,32.24,30.1,0,2025-08-08T15:57:58.638182
OIL,432.4,430.0,2025-08-28,14.35,12.8,31.16,37.1,34.13,0,2025-08-08T15:57:58.639900
ONGC,233.44,235.0,2025-08-28,3.5,5.05,18.0,21.73,19.87,0,2025-08-08T15:57:58.642536
PAGEIND,44865.0,45000.0,2025-08-28,520.0,1527.05,12.39,37.33,24.86,0,2025-08-08T15:57:58.644427
PATANJALI,1804.7,1800.0,2025-08-28,51.95,51.95,28.03,34.65,31.34,0,2025-08-08T15:57:58.646237
PAYTM,1062.4,1060.0,2025-08-28,37.0,31.95,34.85,35.88,35.36,0,2025-08-08T15:57:58.647866
PERSISTENT,5105.5,5100.0,2025-08-28,154.0,146.2,30.41,33.67,32.04,0,2025-08-08T15:57:58.649600
PETRONET,273.25,275.0,2025-08-28,6.7,8.15,28.24,30.81,29.52,0,2025-08-08T15:57:58.651419
PFC,404.65,400.0,2025-08-28,11.35,9.85,21.64,34.27,27.96,0,2025-08-08T15:57:58.653285
PHOENIXLTD,1417.3,1420.0,2025-08-28,0.0,0.0,,,,0,2025-08-08T15:57:58.653306
PIDILITIND,3081.3,3080.0,2025-08-28,49.65,58.2,15.39,22.66,19.02,0,2025-08-08T15:57:58.655103
PIIND,3919.1,3900.0,2025-08-28,149.0,127.0,36.88,39.82,38.35,0,2025-08-08T15:57:58.656796
PNB,103.95,104.0,2025-08-28,2.55,2.5,25.11,27.82,26.46,0,2025-08-08T15:57:58.659527
PNBHOUSING,770.75,780.0,2025-08-28,22.5,23.9,36.1,28.78,32.44,0,2025-08-08T15:57:58.661595
POLYCAB,6741.0,6700.0,2025-08-28,205.0,146.3,27.78,28.65,28.22,0,2025-08-08T15:57:58.663478
POONAWALLA,434.3,430.0,2025-08-28,15.45,10.8,31.18,34.07,32.62,0,2025-08-08T15:57:58.665189
POWERGRID,284.85,285.0,2025-08-28,4.55,4.7,15.78,19.55,17.66,0,2025-08-08T15:57:58.667106
PPLPHARMA,190.07,190.0,2025-08-28,5.95,5.8,32.05,35.34,33.7,0,2025-08-08T15:57:58.668865
PRESTIGE,1603.6,1600.0,2025-08-28,52.6,48.3,32.64,35.92,34.28,0,2025-08-08T15:57:58.670549
RBLBANK,261.7,260.0,2025-08-28,10.8,8.7,39.52,41.6,40.56,0,2025-08-08T15:57:58.672255
RECLTD,381.35,380.0,2025-08-28,9.6,9.7,23.51,31.47,27.49,0,2025-08-08T15:57:58.673997
RELIANCE,1367.8,1370.0,2025-08-28,25.35,28.0,19.19,23.3,21.24,0,2025-08-08T15:57:58.676727
RVNL,336.6,340.0,2025-08-28,11.4,16.45,40.27,49.39,44.83,0,2025-08-08T15:57:58.678513
SAIL,121.07,120.0,2025-08-28,3.95,2.75,28.55,31.15,29.85,0,2025-08-08T15:57:58.680217
SBICARD,786.9,790.0,2025-08-28,15.8,17.5,22.13,23.95,23.04,0,2025-08-08T15:57:58.681963
SBILIFE,1833.6,1840.0,2025-08-28,30.2,27.35,17.96,16.22,17.09,0,2025-08-08T15:57:58.683640
SBIN,804.3,800.0,2025-08-28,15.9,10.9,16.39,19.24,17.81,0,2025-08-08T15:57:58.685683
SENSEX,79857.79,79900.0,2025-08-12,327.25,280.25,10.66,9.29,9.98,0,2025-08-08T15:57:58.687389
SHREECEM,30415.0,30500.0,2025-08-28,649.25,598.6,22.9,21.8,22.35,0,2025-08-08T15:57:58.689028
SHRIRAMFIN,609.65,610.0,2025-08-28,18.4,17.0,31.34,31.96,31.65,0,2025-08-08T15:57:58.691675
SIEMENS,3031.8,3050.0,2025-08-28,88.95,100.7,33.29,34.74,34.02,0,2025-08-08T15:57:58.694196
SJVN,92.1,92.5,2025-08-28,3.2,3.45,38.32,40.31,39.32,0,2025-08-08T15:57:58.695847
SOLARINDS,14462.0,14500.0,2025-08-28,366.75,431.05,27.19,32.93,30.06,0,2025-08-08T15:57:58.697660
SONACOMS,445.0,440.0,2025-08-28,17.05,11.95,33.4,36.95,35.17,0,2025-08-08T15:57:58.699283
SRF,2861.2,2850.0,2025-08-28,82.9,68.6,27.48,30.05,28.76,0,2025-08-08T15:57:58.700790
SUNPHARMA,1586.9,1580.0,2025-08-28,36.9,25.75,20.9,21.73,21.32,0,2025-08-08T15:57:58.702728
SUPREMEIND,4150.5,4200.0,2025-08-28,89.05,132.05,27.61,29.7,28.66,0,2025-08-08T15:57:58.704407
SUZLON,63.19,63.0,2025-08-28,2.9,2.65,46.57,49.28,47.92,0,2025-08-08T15:57:58.706178
SYNGENE,655.25,660.0,2025-08-28,15.3,19.3,27.4,29.92,28.66,0,2025-08-08T15:57:58.708665
TATACHEM,946.3,950.0,2025-08-28,20.75,24.3,24.13,27.71,25.92,0,2025-08-08T15:57:58.710583
TATACONSUM,1051.0,1050.0,2025-08-28,22.55,18.9,20.94,21.94,21.44,0,2025-08-08T15:57:58.712307
TATAELXSI,5759.5,5800.0,2025-08-28,122.75,175.0,25.07,31.06,28.06,0,2025-08-08T15:57:58.714020
TATAMOTORS,633.7,630.0,2025-08-28,20.0,18.35,29.2,36.54,32.87,0,2025-08-08T15:57:58.715827
TATAPOWER,378.8,380.0,2025-08-28,8.2,9.1,23.43,26.32,24.88,0,2025-08-08T15:57:58.717520
TATATECH,659.2,660.0,2025-08-28,14.7,14.75,23.08,25.6,24.34,0,2025-08-08T15:57:58.719205
TCS,3036.4,3040.0,2025-08-28,54.6,47.9,18.35,18.41,18.38,0,2025-08-08T15:57:58.720782
TECHM,1480.4,1480.0,2025-08-28,33.85,29.2,22.87,23.49,23.18,0,2025-08-08T15:57:58.722489
TIINDIA,2885.7,2900.0,2025-08-28,74.0,81.4,28.72,29.88,29.3,0,2025-08-08T15:57:58.726137
TITAGARH,802.95,800.0,2025-08-28,35.9,36.0,44.9,52.82,48.86,0,2025-08-08T15:57:58.729526
TORNTPHARM,3573.2,3550.0,2025-08-28,93.65,55.0,22.86,21.84,22.35,0,2025-08-08T15:57:58.731266
TORNTPOWER,1335.8,1340.0,2025-08-28,31.3,35.75,25.36,29.32,27.34,0,2025-08-08T15:57:58.733432
TRENT,5317.0,5300.0,2025-08-28,158.2,129.9,28.75,30.18,29.46,0,2025-08-08T15:57:58.735339
ULTRACEMCO,12157.0,12200.0,2025-08-28,197.0,198.0,17.7,17.69,17.7,0,2025-08-08T15:57:58.737370
UNITDSPR,1291.5,1300.0,2025-08-28,25.4,32.95,23.05,26.01,24.53,0,2025-08-08T15:57:58.739019
UNOMINDA,1084.0,1080.0,2025-08-28,34.8,30.55,31.05,34.56,32.8,0,2025-08-08T15:57:58.740412
UPL,688.75,690.0,2025-08-28,15.7,15.2,23.95,24.94,24.44,0,2025-08-08T15:57:58.742014
VBL,495.95,500.0,2025-08-28,9.6,12.55,23.5,24.86,24.18,0,2025-08-08T15:57:58.743455
VEDL,431.45,430.0,2025-08-28,11.4,8.6,25.0,25.32,25.16,0,2025-08-08T15:57:58.744578
VOLTAS,1304.9,1300.0,2025-08-28,36.55,44.0,26.51,40.67,33.59,0,2025-08-08T15:57:58.745902
WIPRO,239.05,240.0,2025-08-28,4.9,5.4,22.6,24.31,23.46,0,2025-08-08T15:57:58.747280
YESBANK,18.54,19.0,2025-08-28,0.35,0.7,30.46,27.72,29.09,0,2025-08-08T15:57:58.748601
ZYDUSLIFE,936.15,940.0,2025-08-28,24.95,28.1,29.38,32.33,30.85,0,2025-08-08T15:57:58.749919
